Unnamed: 0,Time,Lat,Lon,Street,Visibility(km),Wind_Speed(km/h),Precipitation(mm),Astronomical_Twilight,road_closure,Date
65,02:30:00,40.850067,-73.944817,George Washington Bridge,16.09,5.63,,Night,True,2016-12-17
66,14:30:00,40.759762,-73.960991,Ed Koch Queensboro Bridge West,16.09,16.74,0.25,Day,True,2016-12-18
67,06:00:00,40.735397,-73.974899,FDR Drive,,9.33,,Day,True,2016-12-19
68,07:00:00,40.717396,-73.99131,Grand Street,,13.04,,Day,True,2016-12-19
69,07:30:00,40.718971,-73.974968,E Houston Street,,9.33,,Day,False,2016-12-19
70,10:00:00,40.84584,-73.931061,5th Avenue,16.09,9.33,,Day,True,2016-12-19
71,10:00:00,40.80127,-73.929916,Robert F Kennedy Bridge,16.09,20.44,,Day,True,2016-12-19
72,11:30:00,40.731255,-73.973656,FDR Drive,,7.4,,Day,True,2016-12-19
73,04:00:00,40.765228,-73.951904,FDR Drive,16.09,9.33,,Night,False,2016-12-20
74,07:00:00,40.84584,-73.931061,5th Avenue,16.09,,,Day,True,2016-12-20
75,07:30:00,40.71030800000001,-73.988129,Jefferson Street,,7.4,,Day,False,2016-12-20
76,15:30:00,40.782818,-73.943871,East 96th Street,16.09,,,Day,True,2016-12-20
77,19:30:00,40.735397,-73.974899,FDR Drive,,13.04,,Night,False,2016-12-20
78,19:30:00,40.851543,-73.95208000000002,George Washington Bridge,16.09,7.4,,Night,True,2016-12-20
79,05:00:00,40.759968,-73.964798,2nd Avenue,16.09,5.63,,Night,True,2016-12-21
80,06:00:00,40.850067,-73.944817,George Washington Bridge,16.09,,,Day,True,2016-12-21
81,10:30:00,40.84584,-73.931061,5th Avenue,16.09,5.63,,Day,False,2016-12-21
82,19:00:00,40.851543,-73.95208000000002,George Washington Bridge,16.09,11.1,,Night,True,2016-12-21
83,06:30:00,40.850067,-73.944817,George Washington Bridge,16.09,7.4,,Day,False,2016-12-22
84,14:30:00,40.792259,-73.948425,East 105th Street,16.09,13.04,,Day,False,2016-12-22
85,16:30:00,40.851543,-73.95208000000002,George Washington Bridge,16.09,13.04,,Day,True,2016-12-22
86,17:30:00,40.754799,-73.962135,FDR Drive,16.09,13.04,,Day,True,2016-12-22
87,19:30:00,40.851543,-73.95208000000002,George Washington Bridge,16.09,16.74,,Night,True,2016-12-22
